run,run_id,seed,before,after,delta,duration,I_q,I_cl,theta_classical,delta_sector_threshold,method_q_total_before,method_q_total_after,method_cl_total_before,method_cl_total_after,delta_R,stochastic_scale,cl_activated_sectors,cl_first_activation_step,risk_trajectory_q,risk_trajectory_cl,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl
878,878,5710933567151400675,0.0,0.32020080321285155,0.32020080321285155,13,1,0,0.3,0.1,0.0,0.32020080321285155,0.0,0.0,0.32020080321285155,0.3,[],,"[{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}","{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
879,879,5233645427992040809,0.0,0.4218518518518518,0.4218518518518518,16,1,1,0.3,0.1,0.0,0.4218518518518518,0.0,0.7,0.4218518518518518,0.3,"[""transport""]",1,"[{""energy"": 0.6296296296296295, ""water"": 0.2518518518518518, ""transport"": 0.31481481481481477}, {""energy"": 0.6296296296296295, ""water"": 0.2518518518518518, ""transport"": 0.31481481481481477}, {""energy"": 0.6296296296296295, ""water"": 0.2518518518518518, ""transport"": 0.31481481481481477}, {""energy"": 0.6296296296296295, ""water"": 0.2518518518518518, ""transport"": 0.31481481481481477}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.6296296296296295, ""water"": 0.2518518518518518, ""transport"": 0.31481481481481477}","{""energy"": 0.6296296296296295, ""water"": 0.2518518518518518, ""transport"": 0.31481481481481477}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
880,880,5291308279825436291,0.0,0.25802588996763753,0.25802588996763753,11,1,0,0.3,0.1,0.0,0.25802588996763753,0.0,0.0,0.25802588996763753,0.3,[],,"[{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
881,881,9032395574405893128,0.0,0.67,0.67,28,1,1,0.3,0.1,0.0,0.67,0.0,0.7,0.67,0.3,"[""transport""]",1,"[{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
882,882,12311178073904439054,0.0,0.17209682392846143,0.17209682392846143,19,1,0,0.3,0.1,0.0,0.17209682392846143,0.0,0.0,0.17209682392846143,0.3,[],,"[{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}","{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
883,883,372380584384705253,0.0,0.25802588996763753,0.25802588996763753,25,1,0,0.3,0.1,0.0,0.25802588996763753,0.0,0.0,0.25802588996763753,0.3,[],,"[{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
884,884,8468070879232501088,0.0,0.6180620155038761,0.6180620155038761,18,1,1,0.3,0.1,0.0,0.6180620155038761,0.0,0.7,0.6180620155038761,0.3,"[""transport""]",1,"[{""energy"": 0.922480620155039, ""water"": 0.3689922480620156, ""transport"": 0.4612403100775195}, {""energy"": 0.922480620155039, ""water"": 0.3689922480620156, ""transport"": 0.4612403100775195}, {""energy"": 0.922480620155039, ""water"": 0.3689922480620156, ""transport"": 0.4612403100775195}, {""energy"": 0.922480620155039, ""water"": 0.3689922480620156, ""transport"": 0.4612403100775195}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.922480620155039, ""water"": 0.3689922480620156, ""transport"": 0.4612403100775195}","{""energy"": 0.922480620155039, ""water"": 0.3689922480620156, ""transport"": 0.4612403100775195}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
885,885,4721235544102883504,0.0,0.67,0.67,30,1,1,0.3,0.1,0.0,0.67,0.0,0.7,0.67,0.3,"[""transport""]",1,"[{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
886,886,13676804373110519064,0.0,0.25802588996763753,0.25802588996763753,6,1,0,0.3,0.1,0.0,0.25802588996763753,0.0,0.0,0.25802588996763753,0.3,[],,"[{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
887,887,9310608049628724604,0.0,0.67,0.67,29,1,1,0.3,0.1,0.0,0.67,0.0,0.7,0.67,0.3,"[""transport""]",1,"[{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
888,888,2706484466142148369,0.0,0.32020080321285155,0.32020080321285155,8,1,0,0.3,0.1,0.0,0.32020080321285155,0.0,0.0,0.32020080321285155,0.3,[],,"[{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}","{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
889,889,11634038050343178548,0.0,0.17209682392846143,0.17209682392846143,9,1,0,0.3,0.1,0.0,0.17209682392846143,0.0,0.0,0.17209682392846143,0.3,[],,"[{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}","{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
890,890,5628993663109849128,0.0,0.17209682392846143,0.17209682392846143,5,1,0,0.3,0.1,0.0,0.17209682392846143,0.0,0.0,0.17209682392846143,0.3,[],,"[{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}, {""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}","{""energy"": 0.2568609312365096, ""water"": 0.10274437249460384, ""transport"": 0.1284304656182548}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
891,891,8981683763967859413,0.0,0.28859164198749576,0.28859164198749576,16,1,0,0.3,0.1,0.0,0.28859164198749576,0.0,0.0,0.28859164198749576,0.3,[],,"[{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}","{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
892,892,9753260437459251237,0.0,0.67,0.67,24,1,1,0.3,0.1,0.0,0.67,0.0,0.7,0.67,0.3,"[""transport""]",1,"[{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
893,893,9768704070649952374,0.0,0.67,0.67,27,1,1,0.3,0.1,0.0,0.67,0.0,0.7,0.67,0.3,"[""transport""]",1,"[{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
894,894,7886487988351216685,0.0,0.25802588996763753,0.25802588996763753,15,1,0,0.3,0.1,0.0,0.25802588996763753,0.0,0.0,0.25802588996763753,0.3,[],,"[{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}, {""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.3851132686084142, ""water"": 0.1540453074433657, ""transport"": 0.1925566343042071}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
895,895,12467965060619620152,0.0,0.4959421880717162,0.4959421880717162,23,1,1,0.3,0.1,0.0,0.4959421880717162,0.0,0.7,0.4959421880717162,0.3,"[""transport""]",1,"[{""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}, {""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}, {""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}, {""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}, {""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}, {""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}","{""energy"": 0.7402122210025615, ""water"": 0.2960848884010246, ""transport"": 0.3701061105012807}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
896,896,4613347798518826730,0.0,0.28859164198749576,0.28859164198749576,22,1,0,0.3,0.1,0.0,0.28859164198749576,0.0,0.0,0.28859164198749576,0.3,[],,"[{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}","{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
897,897,3826749868397656417,0.0,0.28859164198749576,0.28859164198749576,8,1,0,0.3,0.1,0.0,0.28859164198749576,0.0,0.0,0.28859164198749576,0.3,[],,"[{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}, {""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}","{""energy"": 0.43073379401118767, ""water"": 0.1722935176044751, ""transport"": 0.21536689700559383}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
898,898,10606551061321616864,0.0,0.19982456140350863,0.19982456140350863,5,1,0,0.3,0.1,0.0,0.19982456140350863,0.0,0.0,0.19982456140350863,0.3,[],,"[{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
